District,Area,Post Code,Charge(1kg),Charge(2kg),Charge(3kg),,
Dhaka,Eastern Housing (Mirpur-12),,69,84,99,,
Dhaka,Lucas more(Tejgaon),,69,84,99,,
Dhaka,Nijhum gate (Dhaka Cantonment),,69,84,99,,
Dhaka,Niketon Bazar gate(Mohakhali),,69,84,99,,
Dhaka,South Begunbari(Tejgaon),,69,84,99,,
Dhaka,Mohakhali Bus terminal(Mohakhali),,69,84,99,,
Dhaka,Arambag (Mirpur 7),,69,84,99,,
Dhaka,Nazimuddin Road (Puran Dhaka),,69,84,99,,
Dhaka,Nazimuddin Road (Malibag),,69,84,99,,
Dhaka,Kodomtoli Thana (Jatrabari),,69,84,99,,
Dhaka,SDA,,69,84,99,,
Dhaka,60 feet Mor (Mirpur-2 ),1216,69,84,99,,
Dhaka,Banasree Block - A (Dhaka),,69,84,99,,
Dhaka,Banasree Block - B (Dhaka),,69,84,99,,
Dhaka,Banasree Block - C (Dhaka),,69,84,99,,
Dhaka,Banasree Block - D (Dhaka),,69,84,99,,
Dhaka,Banasree Block - E (Dhaka),,69,84,99,,
Dhaka,Banasree Block - F (Dhaka),,69,84,99,,
Dhaka,Banasree Block - G (Dhaka),,69,84,99,,
Dhaka,Banasree Block - H (Dhaka),,69,84,99,,
Dhaka,Banasree Block - I (Dhaka),,69,84,99,,
Dhaka,Banasree Block - J (Dhaka),,69,84,99,,
Dhaka,Banasree Block - K (Dhaka),,69,84,99,,
Dhaka,Banasree Block - L (Dhaka),,69,84,99,,
Dhaka,Banasree Block - M (Dhaka),,69,84,99,,
Dhaka,Banasree Block - N (Dhaka),,69,84,99,,
Dhaka,Sector 1 (Uttara),,69,84,99,,
Dhaka,Sector 2 (Uttara),,69,84,99,,
Dhaka,Sector  6 (Uttara),,69,84,99,,
Dhaka,Sector 8 (Uttara),,69,84,99,,
Dhaka,Sector 10 (Uttara),,69,84,99,,
Dhaka,Sector 12(Uttara),,69,84,99,,
Dhaka,Uttara Sector - 13,,69,84,99,,
Dhaka,Sector 15(Uttara),,69,84,99,,
Dhaka,Dhanmondi - Rd 1,,69,84,99,,
Dhaka,Dhanmondi - Rd 2,,69,84,99,,
Dhaka,Dhanmondi - Road 4,,69,84,99,,
Dhaka,Dhanmondi - Road 4A,,69,84,99,,
Dhaka,Dhanmondi - Rd 6,,69,84,99,,
Dhaka,Dhanmondi - Rd 6,,69,84,99,,
Dhaka,Dhanmondi - Rd 3A,,69,84,99,,
Dhaka,Dhanmondi - Rd 6A,,69,84,99,,
Dhaka,Dhanmondi - Rd 8,,69,84,99,,
Dhaka,Dhanmondi - Rd 8A,,69,84,99,,
Dhaka,Dhanmondi - Rd 9,,69,84,99,,
Dhaka,Dhanmondi - Road 9/A,,69,84,99,,
Dhaka,Dhanmondi - Rd 10,,69,84,99,,
Dhaka,Dhanmondi - Rd 12,,69,84,99,,
Dhaka,Dhanmondi - Rd 12A,,69,84,99,,
Dhaka,Dhanmondi - Rd 15,,69,84,99,,
Dhaka,Dhanmondi - Rd 15 A,,69,84,99,,
Dhaka,Dhanmondi - Rd 27,,69,84,99,,
Dhaka,Dhanmondi - Rd 28,,69,84,99,,
Dhaka,Dhanmondi - Rd 29,,69,84,99,,
Dhaka,Jigatala post office(Dhanmondi),,69,84,99,,
